product_category_name,product_category_name_english;;;;;;product_category_name;product_category_name_english;;id;product_category_name;;
beleza_saude,health_beauty;;;;;;beleza_saude;health_beauty;;001;beleza_saude;;001,beleza_saude
informatica_acessorios,computers_accessories;;;;;;informatica_acessorios;computers_accessories;;002;informatica_acessorios;;002,informatica_acessorios
automotivo,auto;;;;;;automotivo;auto;;003;automotivo;;003,automotivo
cama_mesa_banho,bed_bath_table;;;;;;cama_mesa_banho;bed_bath_table;;004;cama_mesa_banho;;004,cama_mesa_banho
moveis_decoracao,furniture_decor;;;;;;moveis_decoracao;furniture_decor;;005;moveis_decoracao;;005,moveis_decoracao
esporte_lazer,sports_leisure;;;;;;esporte_lazer;sports_leisure;;006;esporte_lazer;;006,esporte_lazer
perfumaria,perfumery;;;;;;perfumaria;perfumery;;007;perfumaria;;007,perfumaria
utilidades_domesticas,housewares;;;;;;utilidades_domesticas;housewares;;008;utilidades_domesticas;;008,utilidades_domesticas
telefonia,telephony;;;;;;telefonia;telephony;;009;telefonia;;009,telefonia
relogios_presentes,watches_gifts;;;;;;relogios_presentes;watches_gifts;;010;relogios_presentes;;010,relogios_presentes
alimentos_bebidas,food_drink;;;;;;alimentos_bebidas;food_drink;;011;alimentos_bebidas;;011,alimentos_bebidas
bebes,baby;;;;;;bebes;baby;;012;bebes;;012,bebes
papelaria,stationery;;;;;;papelaria;stationery;;013;papelaria;;013,papelaria
tablets_impressao_imagem,tablets_printing_image;;;;;;tablets_impressao_imagem;tablets_printing_image;;014;tablets_impressao_imagem;;014,tablets_impressao_imagem
brinquedos,toys;;;;;;brinquedos;toys;;015;brinquedos;;015,brinquedos
telefonia_fixa,fixed_telephony;;;;;;telefonia_fixa;fixed_telephony;;016;telefonia_fixa;;016,telefonia_fixa
ferramentas_jardim,garden_tools;;;;;;ferramentas_jardim;garden_tools;;017;ferramentas_jardim;;017,ferramentas_jardim
fashion_bolsas_e_acessorios,fashion_bags_accessories;;;;;;fashion_bolsas_e_acessorios;fashion_bags_accessories;;018;fashion_bolsas_e_acessorios;;018,fashion_bolsas_e_acessorios
eletroportateis,small_appliances;;;;;;eletroportateis;small_appliances;;019;eletroportateis;;019,eletroportateis
consoles_games,consoles_games;;;;;;consoles_games;consoles_games;;020;consoles_games;;020,consoles_games
audio,audio;;;;;;audio;audio;;021;audio;;021,audio
fashion_calcados,fashion_shoes;;;;;;fashion_calcados;fashion_shoes;;022;fashion_calcados;;022,fashion_calcados
cool_stuff,cool_stuff;;;;;;cool_stuff;cool_stuff;;023;cool_stuff;;023,cool_stuff
malas_acessorios,luggage_accessories;;;;;;malas_acessorios;luggage_accessories;;024;malas_acessorios;;024,malas_acessorios
climatizacao,air_conditioning;;;;;;climatizacao;air_conditioning;;025;climatizacao;;025,climatizacao
construcao_ferramentas_construcao,construction_tools_construction;;;;;;construcao_ferramentas_construcao;construction_tools_construction;;026;construcao_ferramentas_construcao;;026,construcao_ferramentas_construcao
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture;;;;;;moveis_cozinha_area_de_servico_jantar_e_jardim;kitchen_dining_laundry_garden_furniture;;027;moveis_cozinha_area_de_servico_jantar_e_jardim;;027,moveis_cozinha_area_de_servico_jantar_e_jardim
construcao_ferramentas_jardim,costruction_tools_garden;;;;;;construcao_ferramentas_jardim;costruction_tools_garden;;028;construcao_ferramentas_jardim;;028,construcao_ferramentas_jardim
fashion_roupa_masculina,fashion_male_clothing;;;;;;fashion_roupa_masculina;fashion_male_clothing;;029;fashion_roupa_masculina;;029,fashion_roupa_masculina
pet_shop,pet_shop;;;;;;pet_shop;pet_shop;;030;pet_shop;;030,pet_shop
moveis_escritorio,office_furniture;;;;;;moveis_escritorio;office_furniture;;031;moveis_escritorio;;031,moveis_escritorio
market_place,market_place;;;;;;market_place;market_place;;032;market_place;;032,market_place
eletronicos,electronics;;;;;;eletronicos;electronics;;033;eletronicos;;033,eletronicos
eletrodomesticos,home_appliances;;;;;;eletrodomesticos;home_appliances;;034;eletrodomesticos;;034,eletrodomesticos
artigos_de_festas,party_supplies;;;;;;artigos_de_festas;party_supplies;;035;artigos_de_festas;;035,artigos_de_festas
casa_conforto,home_confort;;;;;;casa_conforto;home_confort;;036;casa_conforto;;036,casa_conforto
construcao_ferramentas_ferramentas,costruction_tools_tools;;;;;;construcao_ferramentas_ferramentas;costruction_tools_tools;;037;construcao_ferramentas_ferramentas;;037,construcao_ferramentas_ferramentas
agro_industria_e_comercio,agro_industry_and_commerce;;;;;;agro_industria_e_comercio;agro_industry_and_commerce;;038;agro_industria_e_comercio;;038,agro_industria_e_comercio
moveis_colchao_e_estofado,furniture_mattress_and_upholstery;;;;;;moveis_colchao_e_estofado;furniture_mattress_and_upholstery;;039;moveis_colchao_e_estofado;;039,moveis_colchao_e_estofado
livros_tecnicos,books_technical;;;;;;livros_tecnicos;books_technical;;040;livros_tecnicos;;040,livros_tecnicos
casa_construcao,home_construction;;;;;;casa_construcao;home_construction;;041;casa_construcao;;041,casa_construcao
instrumentos_musicais,musical_instruments;;;;;;instrumentos_musicais;musical_instruments;;042;instrumentos_musicais;;042,instrumentos_musicais
moveis_sala,furniture_living_room;;;;;;moveis_sala;furniture_living_room;;043;moveis_sala;;043,moveis_sala
construcao_ferramentas_iluminacao,construction_tools_lights;;;;;;construcao_ferramentas_iluminacao;construction_tools_lights;;044;construcao_ferramentas_iluminacao;;044,construcao_ferramentas_iluminacao
industria_comercio_e_negocios,industry_commerce_and_business;;;;;;industria_comercio_e_negocios;industry_commerce_and_business;;045;industria_comercio_e_negocios;;045,industria_comercio_e_negocios
alimentos,food;;;;;;alimentos;food;;046;alimentos;;046,alimentos
artes,art;;;;;;artes;art;;047;artes;;047,artes
moveis_quarto,furniture_bedroom;;;;;;moveis_quarto;furniture_bedroom;;048;moveis_quarto;;048,moveis_quarto
livros_interesse_geral,books_general_interest;;;;;;livros_interesse_geral;books_general_interest;;049;livros_interesse_geral;;049,livros_interesse_geral
construcao_ferramentas_seguranca,construction_tools_safety;;;;;;construcao_ferramentas_seguranca;construction_tools_safety;;050;construcao_ferramentas_seguranca;;050,construcao_ferramentas_seguranca
fashion_underwear_e_moda_praia,fashion_underwear_beach;;;;;;fashion_underwear_e_moda_praia;fashion_underwear_beach;;051;fashion_underwear_e_moda_praia;;051,fashion_underwear_e_moda_praia
fashion_esporte,fashion_sport;;;;;;fashion_esporte;fashion_sport;;052;fashion_esporte;;052,fashion_esporte
sinalizacao_e_seguranca,signaling_and_security;;;;;;sinalizacao_e_seguranca;signaling_and_security;;053;sinalizacao_e_seguranca;;053,sinalizacao_e_seguranca
pcs,computers;;;;;;pcs;computers;;054;pcs;;054,pcs
artigos_de_natal,christmas_supplies;;;;;;artigos_de_natal;christmas_supplies;;055;artigos_de_natal;;055,artigos_de_natal
fashion_roupa_feminina,fashio_female_clothing;;;;;;fashion_roupa_feminina;fashio_female_clothing;;056;fashion_roupa_feminina;;056,fashion_roupa_feminina
eletrodomesticos_2,home_appliances_2;;;;;;eletrodomesticos_2;home_appliances_2;;057;eletrodomesticos_2;;057,eletrodomesticos_2
livros_importados,books_imported;;;;;;livros_importados;books_imported;;058;livros_importados;;058,livros_importados
bebidas,drinks;;;;;;bebidas;drinks;;059;bebidas;;059,bebidas
cine_foto,cine_photo;;;;;;cine_foto;cine_photo;;060;cine_foto;;060,cine_foto
la_cuisine,la_cuisine;;;;;;la_cuisine;la_cuisine;;061;la_cuisine;;061,la_cuisine
musica,music;;;;;;musica;music;;062;musica;;062,musica
casa_conforto_2,home_comfort_2;;;;;;casa_conforto_2;home_comfort_2;;063;casa_conforto_2;;063,casa_conforto_2
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee;;;;;;portateis_casa_forno_e_cafe;small_appliances_home_oven_and_coffee;;064;portateis_casa_forno_e_cafe;;064,portateis_casa_forno_e_cafe
cds_dvds_musicais,cds_dvds_musicals;;;;;;cds_dvds_musicais;cds_dvds_musicals;;065;cds_dvds_musicais;;065,cds_dvds_musicais
dvds_blu_ray,dvds_blu_ray;;;;;;dvds_blu_ray;dvds_blu_ray;;066;dvds_blu_ray;;066,dvds_blu_ray
flores,flowers;;;;;;flores;flowers;;067;flores;;067,flores
artes_e_artesanato,arts_and_craftmanship;;;;;;artes_e_artesanato;arts_and_craftmanship;;068;artes_e_artesanato;;068,artes_e_artesanato
fraldas_higiene,diapers_and_hygiene;;;;;;fraldas_higiene;diapers_and_hygiene;;069;fraldas_higiene;;069,fraldas_higiene
fashion_roupa_infanto_juvenil,fashion_childrens_clothes;;;;;;fashion_roupa_infanto_juvenil;fashion_childrens_clothes;;070;fashion_roupa_infanto_juvenil;;070,fashion_roupa_infanto_juvenil
seguros_e_servicos,security_and_services;;;;;;seguros_e_servicos;security_and_services;;071;seguros_e_servicos;;071,seguros_e_servicos
